Title,Summary,Website,Status,Deadline,Competition / Award,Internship / Job,Coursework / Enrichment,Volunteering,Remote,Residential,Science & Engineering,Medicine & Health,Sports & Athletics,Sustainability & Environment,Service & Advocacy,Business & Economics,Law & Politics,Arts & Media,Writing & Humanities,Architecture & Design
Foreign Policy Research Institute (FPRI) Remote Internships,"The FPRI Internship Program provides high school and college students with hands-on experience in the field of international relations. Interns support FPRI scholars by assisting with research or contributing to communications, events, and operations, with some roles requiring specialized skills in foreign languages or content creation. Participants receive mentorship from experienced professionals to develop critical thinking and collaboration skills, and they have the unique opportunity to publish original research on the program's ""Intern Corner."" The experience is enriched by access to policy seminars and career-focused guest speaker sessions, including a weekly seminar series specifically for summer interns.",https://www.fpri.org/about/internships/,OPEN,"March 6, 2026",,TRUE,,FALSE,TRUE,,,,FALSE,,,,TRUE,,TRUE,
Ladder Internship Matching Program,"Ladder Internships connects ambitious high school students with real startups for an 8-week summer internship. The program selects and trains interns before pairing them with host companies led by CEOs from institutions like Harvard Business School and Y-Combinator. This opportunity allows students to gain professional experience and mentorship from industry leaders who have held roles at top firms such as Google, Microsoft, and McKinsey.",https://www.ladderinternships.com/our-programs,OPEN,"March 8, 2026",,TRUE,,FALSE,,,,,FALSE,,,TRUE,,,FALSE,
Bank of America Student Leaders Program,This 6-week paid summer internship ($17/hr) connects high school seniors to local non-profit organizations where they gain professional experience. The program is open to graduating seniors who are at least 18 years old at the time of application and includes a 3-day leadership summit to foster civic engagement and professional development.,https://about.bankofamerica.com/en/making-an-impact/student-leaders,OPEN,"March 9, 2026",,TRUE,,FALSE,,,,,FALSE,,FALSE,TRUE,,,,
Brooklyn District Attorney Summer High School Internship,"The Brooklyn District Attorney’s 2026 Summer High School Internship offers an overview of one of the largest DA’s offices in the country. Selected students will participate in workshops, tours, and presentations regarding law enforcement. An intern’s duties may include assisting in investigations, attending trials, preparing and compiling documents and financial data, conducting and analyzing legal research, and supporting community outreach programs. The program is open to students who live and/or attend school in Brooklyn. Students will receive a $150 stipend weekly.",https://www.brooklynda.org/internships/,OPEN,"March 13, 2026",,TRUE,,FALSE,,,,,FALSE,,TRUE,,TRUE,,,
NYC Summer Youth Employment Program (SYEP),"As the nation’s largest youth employment program, SYEP provides NYC residents ages 14–24 with up to $700 through project-based learning or traditional 25-hour-per-week jobs. The program offers valuable work experience and financial compensation during the summer months.",https://application.nycsyep.com/,OPEN,"March 14, 2026",,TRUE,,FALSE,,,,,FALSE,,TRUE,,,,,
The Met Museum High School Internships,"The Met offers paid internships for 10th and 11th grade students living in the tri-state area. Interns explore museum careers in departments like curatorial, social media, design, and education. The program provides professional networking opportunities and hands-on work experience in a world-renowned art institution.",https://www.metmuseum.org/opportunities/internships/summer-internships-for-high-school-students,OPEN,"March 15, 2026",,TRUE,FALSE,FALSE,,,,,FALSE,,,,,TRUE,,
New York Times Summer Academy,"The Summer Academy offers a residential pre-college experience for high school students in grades 10–12 and graduating seniors (ages 15–18) to explore the field of journalism. Whether interested in media, culture, sports, fashion, business, or law, participants investigate the forces shaping these industries under the guidance of seasoned journalists, editors, and media professionals. Each Summer Academy course introduces students to core journalism and media literacy skills, while tapping into their individual interests, from writing to digital storytelling. The program goes beyond the classroom, taking students into newsrooms and local communities to uncover the stories behind compelling headlines. ",https://nytedu.com/pre-college/summer-academy/nyc/,OPEN,"March 16, 2026",,,TRUE,FALSE,,TRUE,,,FALSE,,,FALSE,FALSE,TRUE,TRUE,
Gilder Lehrman Institute Internships,"The Gilder Lehrman Institute’s Summer 2026 Internship Program offers paid positions at $17.00 per hour for high school, college, and graduate students. Participants gain experience in museum collection management, educational programming, development, marketing, and operations. Roles are available in remote, in-person, or hybrid formats, all requiring computer and internet access.",https://www.gilderlehrman.org/internships,OPEN,"March 27, 2026",,TRUE,,FALSE,TRUE,,,,FALSE,,,FALSE,,TRUE,TRUE,
South Street Seaport Museum Internships,"This 12-week summer program ($18/hr) provides students with insight into museum operations and maritime history. Interns are typically placed in Collections, Archives, or Exhibitions, where they work on internal projects, visit other NYC institutions, and network with museum professionals.",https://southstreetseaportmuseum.org/jobs-and-internships/,OPEN,"March 27, 2026",,TRUE,,FALSE,,,,,FALSE,,,,,TRUE,TRUE,
NY Historical Society Student Historian Internships,"High school students in the NYC metro area (grades 10–12) use the resources of the New-York Historical Society to conduct in-depth research on American history. Interns create digital projects, meet with professional staff, and develop historical thinking and media skills centered on the theme ""Our Composite Nation: Frederick Douglass' America."" All interns will receive a $700 stipend upon successful completion of the internship. The internship takes place in person at The New York Historical.",https://www.nyhistory.org/education/student-historian-internship-program,OPEN,"March 29, 2026",,TRUE,,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,
Princeton Ten-Minute Play Contest,"The Lewis Center for the Arts at Princeton University hosts an annual ten-minute playwriting contest for eleventh-grade students in the U.S. and their international equivalents. Each year, the competition is evaluated by a distinguished guest playwright, with past judges including acclaimed writers such as Anya Pearson, Jiehae Park, and Dipika Guha. This program provides high school juniors a unique opportunity to have their original dramatic work recognized by prominent professionals in the field of theater and playwriting.",https://arts.princeton.edu/about/opportunities/high-school-contests/ten-minute-play-contest/,OPEN,"March 31, 2026",TRUE,FALSE,FALSE,FALSE,,,,,FALSE,,,,,TRUE,TRUE,
WashU Architecture Discovery Program,"The Architecture Discovery Program (ADP) is a rigorous two-week introduction to architecture and design for high school students, featuring intensive individual instruction from Sam Fox School faculty. At the heart of the program is the Design Studio, which fosters creativity and discovery while exploring how sustainability and the built environment shape modern architectural practice. Through these explorations, participants develop high-quality material and technical skills to strengthen their professional design portfolios.",https://samfoxschool.washu.edu/academics/pre-college-programs/architecture-discovery-program,OPEN,"March 31, 2026",,,TRUE,FALSE,,TRUE,,,FALSE,TRUE,,,,,,TRUE
